Program "PAW_quantitative_report.py" run on Sun Oct 15 16:01:44 2017

	=SUBTOTAL(109,B5:B4441)													Total	Total	Total	Total	Unique	Unique	Unique	Unique	Corrected	Corrected	Corrected	Corrected
4215	1	sp|Q9QXF8|GNMT_MOUSE	 	 	 	 	56.0	293	32675	Glycine N-methyltransferase OS=Mus musculus GN=Gnmt PE=1 SV=3	29	29	1.000	6	7	8	8	6	7	8	8	6.000	7.000	8.000	8.000
4216	1	sp|Q9QXG2|RAE1_MOUSE	 	 	sp|Q9QXG2|RAE1_MOUSE, sp|Q9QZD5|RAE2_MOUSE	 	14.0	665	73976	Rab proteins geranylgeranyltransferase component A 1 OS=Mus musculus GN=Chm PE=1 SV=1	15	13	0.867	4	5	3	3	3	5	2	3	3.750	5.000	3.000	3.000
4217	1	sp|Q9QXG4|ACSA_MOUSE	 	 	 	 	21.5	701	78861	Acetyl-coenzyme A synthetase, cytoplasmic OS=Mus musculus GN=Acss2 PE=1 SV=2	64	64	1.000	17	16	14	17	17	16	14	17	17.000	16.000	14.000	17.000
4218	1	sp|Q9QXK3|COPG2_MOUSE	 	 	sp|Q9QXK3|COPG2_MOUSE, sp|Q9QZE5|COPG1_MOUSE	 	27.0	871	97679	Coatomer subunit gamma-2 OS=Mus musculus GN=Copg2 PE=1 SV=1	50	41	0.820	10	10	13	17	8	8	11	14	8.457	8.471	11.667	15.050
4219	1	sp|Q9QXS1|PLEC_MOUSE	 	 	sp|P63325|RS10_MOUSE, sp|Q8R0W0|EPIPL_MOUSE, sp|Q9QXS1|PLEC_MOUSE, sp|Q9QXZ0|MACF1_MOUSE	 	39.4	4691	534181	Plectin OS=Mus musculus GN=Plec PE=1 SV=3	459	451	0.983	101	112	116	130	100	111	112	128	100.909	111.933	115.797	129.838
4220	1	sp|Q9QXS6|DREB_MOUSE	 	 	 	 	24.9	706	77286	Drebrin OS=Mus musculus GN=Dbn1 PE=1 SV=4	31	31	1.000	5	10	9	7	5	10	9	7	5.000	10.000	9.000	7.000
4221	1	sp|Q9QXT0|CNPY2_MOUSE	 	 	 	 	44.5	182	20767	Protein canopy homolog 2 OS=Mus musculus GN=Cnpy2 PE=1 SV=1	34	34	1.000	6	9	8	11	6	9	8	11	6.000	9.000	8.000	11.000
4222	1	sp|Q9QXX4|CMC2_MOUSE	 	 	sp|Q8BH59|CMC1_MOUSE, sp|Q9QXX4|CMC2_MOUSE	 	7.4	676	74466	Calcium-binding mitochondrial carrier protein Aralar2 OS=Mus musculus GN=Slc25a13 PE=1 SV=1	6	5	0.833	1	3	2	0	1	2	2	0	1.000	2.200	2.000	0.000
4223	1	sp|Q9QXY6|EHD3_MOUSE	 	 	sp|Q9EQP2|EHD4_MOUSE, sp|Q9QXY6|EHD3_MOUSE, sp|Q9WVK4|EHD1_MOUSE	 	40.4	535	60820	EH domain-containing protein 3 OS=Mus musculus GN=Ehd3 PE=1 SV=2	76	45	0.592	23	17	16	20	14	9	10	12	15.958	10.348	11.171	13.694
4224	1	sp|Q9QXY9|PEX3_MOUSE	 	 	 	 	14.5	372	42223	Peroxisomal biogenesis factor 3 OS=Mus musculus GN=Pex3 PE=1 SV=1	9	9	1.000	2	1	1	5	2	1	1	5	2.000	1.000	1.000	5.000
4225	1	sp|Q9QXZ0|MACF1_MOUSE	 	 	sp|Q91ZU6|DYST_MOUSE, sp|Q9QXS1|PLEC_MOUSE, sp|Q9QXZ0|MACF1_MOUSE	 	6.8	7354	831868	Microtubule-actin cross-linking factor 1 OS=Mus musculus GN=Macf1 PE=1 SV=2	59	55	0.932	12	12	16	19	11	12	15	17	11.229	12.000	15.300	17.513
4226	1	sp|Q9QY06|MYO9B_MOUSE	 	 	 	 	1.2	2114	238831	Unconventional myosin-IXb OS=Mus musculus GN=Myo9b PE=1 SV=2	9	9	1.000	1	3	3	2	1	3	3	2	1.000	3.000	3.000	2.000
4227	1	sp|Q9QY36|NAA10_MOUSE	 	 	 	 	9.8	235	26519	N-alpha-acetyltransferase 10 OS=Mus musculus GN=Naa10 PE=1 SV=1	7	7	1.000	3	1	2	1	3	1	2	1	3.000	1.000	2.000	1.000
4228	1	sp|Q9QY76|VAPB_MOUSE	 	 	sp|Q9QY76|VAPB_MOUSE, sp|Q9WV55|VAPA_MOUSE	 	40.7	243	26946	Vesicle-associated membrane protein-associated protein B OS=Mus musculus GN=Vapb PE=1 SV=3	67	46	0.687	19	18	14	16	13	11	10	12	16.545	14.667	11.905	13.846
4229	1	sp|Q9QYA2|TOM40_MOUSE	 	 	 	 	17.2	361	37895	Mitochondrial import receptor subunit TOM40 homolog OS=Mus musculus GN=Tomm40 PE=1 SV=3	28	28	1.000	5	7	8	8	5	7	8	8	5.000	7.000	8.000	8.000
4230	1	sp|Q9QYB1|CLIC4_MOUSE	 	 	 	 	65.6	253	28729	Chloride intracellular channel protein 4 OS=Mus musculus GN=Clic4 PE=1 SV=3	90	90	1.000	21	23	20	26	21	23	20	26	21.000	23.000	20.000	26.000
4231	1	sp|Q9QYB5|ADDG_MOUSE	 	 	 	 	20.5	706	78776	Gamma-adducin OS=Mus musculus GN=Add3 PE=1 SV=2	56	56	1.000	13	14	14	15	13	14	14	15	13.000	14.000	14.000	15.000
4232	1	sp|Q9QYC0|ADDA_MOUSE	 	 	 	 	26.9	735	80646	Alpha-adducin OS=Mus musculus GN=Add1 PE=1 SV=2	49	49	1.000	10	14	11	14	10	14	11	14	10.000	14.000	11.000	14.000
4233	1	sp|Q9QYC7|VKGC_MOUSE	 	 	 	 	4.1	757	87194	Vitamin K-dependent gamma-carboxylase OS=Mus musculus GN=Ggcx PE=1 SV=1	8	8	1.000	1	3	2	2	1	3	2	2	1.000	3.000	2.000	2.000
4234	1	sp|Q9QYF1|RDH11_MOUSE	 	 	 	 	8.5	316	35147	Retinol dehydrogenase 11 OS=Mus musculus GN=Rdh11 PE=1 SV=2	4	4	1.000	1	1	0	2	1	1	0	2	1.000	1.000	0.000	2.000
4235	1	sp|Q9QYF9|NDRG3_MOUSE	 	 	 	 	6.7	375	41555	Protein NDRG3 OS=Mus musculus GN=Ndrg3 PE=1 SV=1	4	4	1.000	1	2	0	1	1	2	0	1	1.000	2.000	0.000	1.000
4236	1	sp|Q9QYG0|NDRG2_MOUSE	 	 	 	 	36.4	371	40789	Protein NDRG2 OS=Mus musculus GN=Ndrg2 PE=1 SV=1	62	62	1.000	15	13	20	14	15	13	20	14	15.000	13.000	20.000	14.000
4237	1	sp|Q9QYI3|DNJC7_MOUSE	 	 	 	 	27.3	494	56475	DnaJ homolog subfamily C member 7 OS=Mus musculus GN=Dnajc7 PE=1 SV=2	23	23	1.000	4	3	8	8	4	3	8	8	4.000	3.000	8.000	8.000
4238	1	sp|Q9QYI5|DNJB2_MOUSE	 	 	sp|O54946|DNJB6_MOUSE, sp|Q9QYI5|DNJB2_MOUSE	 	27.8	324	35593	DnaJ homolog subfamily B member 2 OS=Mus musculus GN=Dnajb2 PE=1 SV=3	22	18	0.818	6	6	3	7	5	5	2	6	5.833	5.714	2.667	6.667
4239	1	sp|Q9QYJ0|DNJA2_MOUSE	 	 	 	 	47.3	412	45745	DnaJ homolog subfamily A member 2 OS=Mus musculus GN=Dnaja2 PE=1 SV=1	89	89	1.000	18	24	25	22	18	24	25	22	18.000	24.000	25.000	22.000
4240	1	sp|Q9QYJ3|DNJB1_MOUSE	 	 	sp|Q9D832|DNJB4_MOUSE, sp|Q9QYJ3|DNJB1_MOUSE	 	32.1	340	38167	DnaJ homolog subfamily B member 1 OS=Mus musculus GN=Dnajb1 PE=1 SV=3	28	26	0.929	8	7	6	7	8	6	5	7	8.000	6.462	5.263	7.000
4241	1	sp|Q9QYR6|MAP1A_MOUSE	 	 	sp|P14873|MAP1B_MOUSE, sp|Q9QYR6|MAP1A_MOUSE	 	22.0	2776	300136	Microtubule-associated protein 1A OS=Mus musculus GN=Map1a PE=1 SV=2	103	98	0.951	27	21	23	32	26	20	21	31	26.684	20.667	22.400	31.721
4242	1	sp|Q9QYR9|ACOT2_MOUSE	 	 	sp|O55137|ACOT1_MOUSE, sp|Q9QYR9|ACOT2_MOUSE	 	34.9	453	49656	Acyl-coenzyme A thioesterase 2, mitochondrial OS=Mus musculus GN=Acot2 PE=1 SV=2	53	31	0.585	15	15	12	11	8	8	8	7	13.600	13.600	11.556	10.111
4243	1	sp|Q9QYS9|QKI_MOUSE	 	 	 	 	18.2	341	37670	Protein quaking OS=Mus musculus GN=Qki PE=1 SV=1	24	24	1.000	8	6	4	6	8	6	4	6	8.000	6.000	4.000	6.000
4244	1	sp|Q9QYY0|GAB1_MOUSE	 	 	 	 	4.9	695	76812	GRB2-associated-binding protein 1 OS=Mus musculus GN=Gab1 PE=1 SV=2	5	5	1.000	2	1	1	1	2	1	1	1	2.000	1.000	1.000	1.000
4245	1	sp|Q9QYY9|ADH4_MOUSE	 	 	 	 	11.9	377	40210	Alcohol dehydrogenase 4 OS=Mus musculus GN=Adh4 PE=1 SV=4	3	3	1.000	0	1	2	0	0	1	2	0	0.000	1.000	2.000	0.000
4246	1	sp|Q9QZ06|TOLIP_MOUSE	 	 	 	 	47.4	274	30345	Toll-interacting protein OS=Mus musculus GN=Tollip PE=1 SV=1	31	31	1.000	10	7	8	6	10	7	8	6	10.000	7.000	8.000	6.000
4247	1	sp|Q9QZ08|NAGK_MOUSE	 	 	 	 	19.8	343	37268	N-acetyl-D-glucosamine kinase OS=Mus musculus GN=Nagk PE=1 SV=3	13	13	1.000	2	3	4	4	2	3	4	4	2.000	3.000	4.000	4.000
4248	1	sp|Q9QZ23|NFU1_MOUSE	 	 	 	 	40.8	255	28567	NFU1 iron-sulfur cluster scaffold homolog, mitochondrial OS=Mus musculus GN=Nfu1 PE=1 SV=2	25	25	1.000	6	6	8	5	6	6	8	5	6.000	6.000	8.000	5.000
4249	1	sp|Q9QZ73|DCNL1_MOUSE	 	 	sp|Q8BZJ7|DCNL2_MOUSE, sp|Q9QZ73|DCNL1_MOUSE	 	31.7	259	30097	DCN1-like protein 1 OS=Mus musculus GN=Dcun1d1 PE=1 SV=1	27	23	0.852	6	10	7	4	4	10	5	4	5.333	10.000	6.667	4.000
4250	1	sp|Q9QZ88|VPS29_MOUSE	 	 	 	 	49.5	182	20495	Vacuolar protein sorting-associated protein 29 OS=Mus musculus GN=Vps29 PE=1 SV=1	35	35	1.000	9	9	8	9	9	9	8	9	9.000	9.000	8.000	9.000
4251	1	sp|Q9QZA0|CAH5B_MOUSE	 	 	 	 	38.8	317	36622	Carbonic anhydrase 5B, mitochondrial OS=Mus musculus GN=Ca5b PE=1 SV=2	78	78	1.000	20	19	18	21	20	19	18	21	20.000	19.000	18.000	21.000
4252	1	sp|Q9QZB7|ARP10_MOUSE	 	 	 	 	36.7	417	46207	Actin-related protein 10 OS=Mus musculus GN=Actr10 PE=1 SV=2	38	38	1.000	10	8	9	11	10	8	9	11	10.000	8.000	9.000	11.000
4253	1	sp|Q9QZB9|DCTN5_MOUSE	 	 	 	 	23.6	182	20140	Dynactin subunit 5 OS=Mus musculus GN=Dctn5 PE=1 SV=1	14	14	1.000	3	3	4	4	3	3	4	4	3.000	3.000	4.000	4.000
4254	1	sp|Q9QZD5|RAE2_MOUSE	 	 	sp|Q9QXG2|RAE1_MOUSE, sp|Q9QZD5|RAE2_MOUSE	 	6.6	621	70009	Rab proteins geranylgeranyltransferase component A 2 OS=Mus musculus GN=Chml PE=2 SV=2	5	3	0.600	2	1	1	1	1	1	0	1	1.250	1.000	0.000	1.000
4255	1	sp|Q9QZD8|DIC_MOUSE	 	 	 	 	48.8	287	31715	Mitochondrial dicarboxylate carrier OS=Mus musculus GN=Slc25a10 PE=1 SV=2	58	58	1.000	15	13	16	14	15	13	16	14	15.000	13.000	16.000	14.000
4256	1	sp|Q9QZD9|EIF3I_MOUSE	 	 	 	 	32.6	325	36460	Eukaryotic translation initiation factor 3 subunit I OS=Mus musculus GN=Eif3i PE=1 SV=1	40	40	1.000	8	11	10	11	8	11	10	11	8.000	11.000	10.000	11.000
4257	1	sp|Q9QZE5|COPG1_MOUSE	 	 	sp|Q9QXK3|COPG2_MOUSE, sp|Q9QZE5|COPG1_MOUSE	 	38.4	874	97512	Coatomer subunit gamma-1 OS=Mus musculus GN=Copg1 PE=1 SV=1	110	101	0.918	29	28	24	29	27	26	22	26	28.543	27.529	23.333	27.950
4258	1	sp|Q9QZE7|TSNAX_MOUSE	 	 	 	 	44.8	290	32926	Translin-associated protein X OS=Mus musculus GN=Tsnax PE=1 SV=1	40	40	1.000	13	11	8	8	13	11	8	8	13.000	11.000	8.000	8.000
4259	1	sp|Q9QZF2|GPC1_MOUSE	 	 	 	 	16.2	557	61359	Glypican-1 OS=Mus musculus GN=Gpc1 PE=1 SV=1	11	11	1.000	5	2	2	2	5	2	2	2	5.000	2.000	2.000	2.000
4260	1	sp|Q9QZH3|PPIE_MOUSE	 	 	sp|Q99KR7|PPIF_MOUSE, sp|Q9QZH3|PPIE_MOUSE	 	22.6	301	33448	Peptidyl-prolyl cis-trans isomerase E OS=Mus musculus GN=Ppie PE=1 SV=2	12	8	0.667	4	2	4	2	3	1	3	1	3.500	1.500	3.333	1.333
4261	1	sp|Q9QZH6|ECSIT_MOUSE	 	 	 	 	6.0	435	49798	Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial OS=Mus musculus GN=Ecsit PE=1 SV=2	2	2	1.000	0	0	2	0	0	0	2	0	0.000	0.000	2.000	0.000
4262	1	sp|Q9QZK2|BCAR3_MOUSE	 	 	 	 	5.4	820	92262	Breast cancer anti-estrogen resistance protein 3 OS=Mus musculus GN=Bcar3 PE=1 SV=1	14	14	1.000	1	2	6	5	1	2	6	5	1.000	2.000	6.000	5.000
4263	1	sp|Q9QZM0|UBQL2_MOUSE	 	 	sp|Q8R317|UBQL1_MOUSE, sp|Q99NB8|UBQL4_MOUSE, sp|Q9QZM0|UBQL2_MOUSE	 	24.8	638	67350	Ubiquilin-2 OS=Mus musculus GN=Ubqln2 PE=1 SV=2	65	50	0.769	17	17	15	16	12	12	12	14	14.400	14.727	13.662	15.273
4264	1	sp|Q9QZN4|FBX6_MOUSE	 	 	 	 	19.7	295	34492	F-box only protein 6 OS=Mus musculus GN=Fbxo6 PE=1 SV=1	10	10	1.000	3	3	3	1	3	3	3	1	3.000	3.000	3.000	1.000
4265	1	sp|Q9QZQ1|AFAD_MOUSE	 	 	 	 	20.5	1820	206496	Afadin OS=Mus musculus GN=Afdn PE=1 SV=3	90	90	1.000	23	19	29	19	23	19	29	19	23.000	19.000	29.000	19.000
4266	1	sp|Q9QZQ8|H2AY_MOUSE	 	 	sp|Q8CCK0|H2AW_MOUSE, sp|Q9QZQ8|H2AY_MOUSE	 	34.7	372	39735	Core histone macro-H2A.1 OS=Mus musculus GN=H2afy PE=1 SV=3	23	17	0.739	6	9	4	4	5	7	2	3	6.000	8.750	4.000	3.750
4267	1	sp|Q9QZU9|UB2L6_MOUSE	 	 	 	 	25.5	153	17841	Ubiquitin/ISG15-conjugating enzyme E2 L6 OS=Mus musculus GN=Ube2l6 PE=1 SV=3	7	7	1.000	2	3	1	1	2	3	1	1	2.000	3.000	1.000	1.000
4268	1	sp|Q9QZW0|AT11C_MOUSE	 	 	 	 	9.5	1129	129239	Phospholipid-transporting ATPase 11C OS=Mus musculus GN=Atp11c PE=1 SV=2	16	16	1.000	4	3	6	3	4	3	6	3	4.000	3.000	6.000	3.000
4269	1	sp|Q9QZX7|SRR_MOUSE	 	 	 	 	13.3	339	36358	Serine racemase OS=Mus musculus GN=Srr PE=1 SV=1	6	6	1.000	2	2	1	1	2	2	1	1	2.000	2.000	1.000	1.000
4270	1	sp|Q9QZZ6|DERM_MOUSE	 	 	 	 	41.3	201	23995	Dermatopontin OS=Mus musculus GN=Dpt PE=1 SV=1	26	26	1.000	7	7	7	5	7	7	7	5	7.000	7.000	7.000	5.000
4271	1	sp|Q9R008|KIME_MOUSE	 	 	 	 	31.1	395	41877	Mevalonate kinase OS=Mus musculus GN=Mvk PE=1 SV=1	33	33	1.000	8	9	6	10	8	9	6	10	8.000	9.000	6.000	10.000
4272	1	sp|Q9R013|CATF_MOUSE	 	 	 	 	9.1	462	51660	Cathepsin F OS=Mus musculus GN=Ctsf PE=1 SV=1	14	14	1.000	5	4	3	2	5	4	3	2	5.000	4.000	3.000	2.000
4273	1	sp|Q9R020|ZRAB2_MOUSE	 	 	 	 	10.3	330	37350	Zinc finger Ran-binding domain-containing protein 2 OS=Mus musculus GN=Zranb2 PE=1 SV=2	7	7	1.000	3	2	1	1	3	2	1	1	3.000	2.000	1.000	1.000
4274	1	sp|Q9R059|FHL3_MOUSE	 	 	 	 	38.8	289	31794	Four and a half LIM domains protein 3 OS=Mus musculus GN=Fhl3 PE=1 SV=2	26	26	1.000	7	7	6	6	7	7	6	6	7.000	7.000	6.000	6.000
4275	1	sp|Q9R062|GLYG_MOUSE	 	 	 	 	19.5	333	37402	Glycogenin-1 OS=Mus musculus GN=Gyg1 PE=1 SV=3	45	45	1.000	15	9	12	9	15	9	12	9	15.000	9.000	12.000	9.000
4276	1	sp|Q9R069|BCAM_MOUSE	 	 	 	 	42.8	622	67669	Basal cell adhesion molecule OS=Mus musculus GN=Bcam PE=1 SV=1	83	83	1.000	22	17	21	23	22	17	21	23	22.000	17.000	21.000	23.000
4277	1	sp|Q9R078|AAKB1_MOUSE	 	 	sp|Q6PAM0|AAKB2_MOUSE, sp|Q9R078|AAKB1_MOUSE	 	24.1	270	30308	5'-AMP-activated protein kinase subunit beta-1 OS=Mus musculus GN=Prkab1 PE=1 SV=2	6	5	0.833	2	1	2	1	2	0	2	1	2.000	0.000	2.000	1.000
4278	1	sp|Q9R087|GPC6_MOUSE	 	 	sp|P51655|GPC4_MOUSE, sp|Q9R087|GPC6_MOUSE	 	5.8	555	63056	Glypican-6 OS=Mus musculus GN=Gpc6 PE=1 SV=1	14	3	0.214	5	4	3	2	1	1	1	0	2.000	1.750	1.400	0.000
4279	1	sp|Q9R098|HGFA_MOUSE	 	 	 	 	15.2	653	70567	Hepatocyte growth factor activator OS=Mus musculus GN=Hgfac PE=1 SV=1	11	11	1.000	5	2	2	2	5	2	2	2	5.000	2.000	2.000	2.000
4280	1	sp|Q9R099|TBL2_MOUSE	 	 	 	 	19.9	442	49583	Transducin beta-like protein 2 OS=Mus musculus GN=Tbl2 PE=1 SV=2	14	14	1.000	2	2	5	5	2	2	5	5	2.000	2.000	5.000	5.000
4281	1	sp|Q9R0A0|PEX14_MOUSE	 	 	 	 	23.9	376	41207	Peroxisomal membrane protein PEX14 OS=Mus musculus GN=Pex14 PE=1 SV=1	18	18	1.000	3	4	5	6	3	4	5	6	3.000	4.000	5.000	6.000
4282	1	sp|Q9R0E1|PLOD3_MOUSE	 	 	 	 	13.8	741	84921	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 OS=Mus musculus GN=Plod3 PE=1 SV=1	22	22	1.000	7	7	4	4	7	7	4	4	7.000	7.000	4.000	4.000
4283	1	sp|Q9R0E2|PLOD1_MOUSE	 	 	 	 	14.7	728	83594	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 OS=Mus musculus GN=Plod1 PE=1 SV=1	21	21	1.000	6	6	4	5	6	6	4	5	6.000	6.000	4.000	5.000
4284	1	sp|Q9R0H0|ACOX1_MOUSE	 	 	 	 	50.2	661	74648	Peroxisomal acyl-coenzyme A oxidase 1 OS=Mus musculus GN=Acox1 PE=1 SV=5	166	166	1.000	40	45	39	42	40	45	39	42	40.000	45.000	39.000	42.000
4285	1	sp|Q9R0M4|PODXL_MOUSE	 	 	 	 	14.5	503	53389	Podocalyxin OS=Mus musculus GN=Podxl PE=1 SV=2	17	17	1.000	5	4	4	4	5	4	4	4	5.000	4.000	4.000	4.000
4286	1	sp|Q9R0M5|TPK1_MOUSE	 	 	 	 	25.5	243	27068	Thiamin pyrophosphokinase 1 OS=Mus musculus GN=Tpk1 PE=1 SV=1	13	13	1.000	2	4	3	4	2	4	3	4	2.000	4.000	3.000	4.000
4287	1	sp|Q9R0M6|RAB9A_MOUSE	 	 	 	 	51.2	201	22909	Ras-related protein Rab-9A OS=Mus musculus GN=Rab9a PE=1 SV=1	20	20	1.000	6	7	3	4	6	7	3	4	6.000	7.000	3.000	4.000
4288	1	sp|Q9R0N0|GALK1_MOUSE	 	 	 	 	19.1	392	42295	Galactokinase OS=Mus musculus GN=Galk1 PE=1 SV=2	35	35	1.000	9	8	8	10	9	8	8	10	9.000	8.000	8.000	10.000
4289	1	sp|Q9R0P3|ESTD_MOUSE	 	 	 	 	69.1	282	31319	S-formylglutathione hydrolase OS=Mus musculus GN=Esd PE=1 SV=1	148	148	1.000	36	32	36	44	36	32	36	44	36.000	32.000	36.000	44.000
4290	1	sp|Q9R0P4|SMAP_MOUSE	 	 	 	 	16.6	181	20046	Small acidic protein OS=Mus musculus GN=Smap PE=1 SV=1	4	4	1.000	1	2	1	0	1	2	1	0	1.000	2.000	1.000	0.000
4291	1	sp|Q9R0P5|DEST_MOUSE	 	 	sp|P18760|COF1_MOUSE, sp|P45591|COF2_MOUSE, sp|Q9R0P5|DEST_MOUSE	 	70.9	165	18521	Destrin OS=Mus musculus GN=Dstn PE=1 SV=3	165	154	0.933	49	37	40	39	47	35	37	35	47.839	35.778	38.000	36.400
4292	1	sp|Q9R0P6|SC11A_MOUSE	 	 	 	 	16.2	179	20626	Signal peptidase complex catalytic subunit SEC11A OS=Mus musculus GN=Sec11a PE=1 SV=1	12	12	1.000	1	4	5	2	1	4	5	2	1.000	4.000	5.000	2.000
4293	1	sp|Q9R0P9|UCHL1_MOUSE	 	 	 	 	36.3	223	24838	Ubiquitin carboxyl-terminal hydrolase isozyme L1 OS=Mus musculus GN=Uchl1 PE=1 SV=1	15	15	1.000	3	4	3	5	3	4	3	5	3.000	4.000	3.000	5.000
4294	1	sp|Q9R0Q3|TMED2_MOUSE	 	 	 	 	27.9	201	22705	Transmembrane emp24 domain-containing protein 2 OS=Mus musculus GN=Tmed2 PE=1 SV=1	33	33	1.000	9	9	7	8	9	9	7	8	9.000	9.000	7.000	8.000
4295	1	sp|Q9R0Q6|ARC1A_MOUSE	 	 	 	 	20.0	370	41626	Actin-related protein 2/3 complex subunit 1A OS=Mus musculus GN=Arpc1a PE=1 SV=1	20	20	1.000	5	4	6	5	5	4	6	5	5.000	4.000	6.000	5.000
4296	1	sp|Q9R0Q7|TEBP_MOUSE	 	 	 	 	55.6	160	18721	Prostaglandin E synthase 3 OS=Mus musculus GN=Ptges3 PE=1 SV=1	39	39	1.000	10	9	9	11	10	9	9	11	10.000	9.000	9.000	11.000
4297	1	sp|Q9R0Q9|MPU1_MOUSE	 	 	 	 	8.1	247	26497	Mannose-P-dolichol utilization defect 1 protein OS=Mus musculus GN=Mpdu1 PE=1 SV=1	10	10	1.000	3	2	2	3	3	2	2	3	3.000	2.000	2.000	3.000
4298	1	sp|Q9R0U0|SRS10_MOUSE	 	 	 	 	10.3	262	31300	Serine/arginine-rich splicing factor 10 OS=Mus musculus GN=Srsf10 PE=1 SV=2	4	4	1.000	1	1	0	2	1	1	0	2	1.000	1.000	0.000	2.000
4299	1	sp|Q9R0X4|ACOT9_MOUSE	 	 	 	 	41.2	439	50560	Acyl-coenzyme A thioesterase 9, mitochondrial OS=Mus musculus GN=Acot9 PE=1 SV=1	98	98	1.000	21	23	26	28	21	23	26	28	21.000	23.000	26.000	28.000
4300	1	sp|Q9R0Y5|KAD1_MOUSE	 	 	 	 	60.3	194	21539	Adenylate kinase isoenzyme 1 OS=Mus musculus GN=Ak1 PE=1 SV=1	63	63	1.000	18	17	15	13	18	17	15	13	18.000	17.000	15.000	13.000
4301	1	sp|Q9R0Z9|RHG07_MOUSE	 	 	 	 	3.6	1092	123366	Rho GTPase-activating protein 7 OS=Mus musculus GN=Dlc1 PE=1 SV=2	3	3	1.000	0	0	1	2	0	0	1	2	0.000	0.000	1.000	2.000
4302	1	sp|Q9R111|GUAD_MOUSE	 	 	 	 	45.8	454	51012	Guanine deaminase OS=Mus musculus GN=Gda PE=1 SV=1	145	145	1.000	36	36	34	39	36	36	34	39	36.000	36.000	34.000	39.000
4303	1	sp|Q9R112|SQRD_MOUSE	 	 	 	 	44.9	450	50282	Sulfide:quinone oxidoreductase, mitochondrial OS=Mus musculus GN=Sqrdl PE=1 SV=3	69	69	1.000	15	20	16	18	15	20	16	18	15.000	20.000	16.000	18.000
4304	1	sp|Q9R1C7|PR40A_MOUSE	 	 	 	 	3.5	953	108479	Pre-mRNA-processing factor 40 homolog A OS=Mus musculus GN=Prpf40a PE=1 SV=1	4	4	1.000	3	1	0	0	3	1	0	0	3.000	1.000	0.000	0.000
4305	1	sp|Q9R1E6|ENPP2_MOUSE	 	 	 	 	12.2	862	98884	Ectonucleotide pyrophosphatase/phosphodiesterase family member 2 OS=Mus musculus GN=Enpp2 PE=1 SV=3	16	16	1.000	2	6	4	4	2	6	4	4	2.000	6.000	4.000	4.000
4306	1	sp|Q9R1J0|NSDHL_MOUSE	 	 	 	 	10.8	362	40685	Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating OS=Mus musculus GN=Nsdhl PE=1 SV=1	8	8	1.000	2	3	2	1	2	3	2	1	2.000	3.000	2.000	1.000
4307	1	sp|Q9R1K9|CETN2_MOUSE	 	 	sp|Q8K4K1|CETN4_MOUSE, sp|Q9R1K9|CETN2_MOUSE	 	45.9	172	19796	Centrin-2 OS=Mus musculus GN=Cetn2 PE=1 SV=1	8	7	0.875	1	0	4	3	1	0	3	3	1.000	0.000	3.750	3.000
4308	1	sp|Q9R1P0|PSA4_MOUSE	 	 	 	 	52.5	261	29470	Proteasome subunit alpha type-4 OS=Mus musculus GN=Psma4 PE=1 SV=1	86	86	1.000	22	23	19	22	22	23	19	22	22.000	23.000	19.000	22.000
4309	1	sp|Q9R1P1|PSB3_MOUSE	 	 	 	 	40.5	205	22965	Proteasome subunit beta type-3 OS=Mus musculus GN=Psmb3 PE=1 SV=1	56	56	1.000	13	16	14	13	13	16	14	13	13.000	16.000	14.000	13.000
4310	1	sp|Q9R1P3|PSB2_MOUSE	 	 	 	 	33.8	201	22906	Proteasome subunit beta type-2 OS=Mus musculus GN=Psmb2 PE=1 SV=1	45	45	1.000	14	10	11	10	14	10	11	10	14.000	10.000	11.000	10.000
4311	1	sp|Q9R1P4|PSA1_MOUSE	 	 	 	 	63.5	263	29546	Proteasome subunit alpha type-1 OS=Mus musculus GN=Psma1 PE=1 SV=1	95	95	1.000	21	21	25	28	21	21	25	28	21.000	21.000	25.000	28.000
4312	1	sp|Q9R1Q8|TAGL3_MOUSE	 	 	sp|Q9R1Q8|TAGL3_MOUSE, sp|Q9WVA4|TAGL2_MOUSE	 	14.1	199	22470	Transgelin-3 OS=Mus musculus GN=Tagln3 PE=1 SV=1	8	2	0.250	2	2	1	3	1	1	0	0	1.021	1.021	0.000	0.000
4313	1	sp|Q9R1Q9|VAS1_MOUSE	 	 	 	 	7.1	463	51007	V-type proton ATPase subunit S1 OS=Mus musculus GN=Atp6ap1 PE=1 SV=1	8	8	1.000	1	2	2	3	1	2	2	3	1.000	2.000	2.000	3.000
4314	1	sp|Q9R1S8|CAN7_MOUSE	 	 	 	 	5.7	813	92563	Calpain-7 OS=Mus musculus GN=Capn7 PE=2 SV=1	4	4	1.000	3	1	0	0	3	1	0	0	3.000	1.000	0.000	0.000
4315	1	sp|Q9R1T2|SAE1_MOUSE	 	 	 	 	53.4	350	38620	SUMO-activating enzyme subunit 1 OS=Mus musculus GN=Sae1 PE=1 SV=1	63	63	1.000	17	14	17	15	17	14	17	15	17.000	14.000	17.000	15.000
